TITLE     = "fluent14.5.0  build-id: 10329"
VARIABLES = "X"
"Y"
"Z"
"Temperature"
DATASETAUXDATA Common.DensityVar="48"
DATASETAUXDATA Common.PressureVar="50"
DATASETAUXDATA Common.TemperatureVar="4"
DATASETAUXDATA Common.UVar="51"
DATASETAUXDATA Common.VectorVarsAreVelocity="TRUE"
DATASETAUXDATA Common.ViscosityVar="62"
DATASETAUXDATA Common.VVar="53"
DATASETAUXDATA Common.WVar="55"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=0
 I=145, J=110, K=3, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -1.006944454E-003 -5.499999970E-002 -1.500000013E-003 3.555260315E+002
 0.000000000E+000 -5.499999970E-002 -1.500000013E-003 3.552175598E+002
 1.006944454E-003 -5.499999970E-002 -1.500000013E-003 3.548118591E+002
 2.013888909E-003 -5.499999970E-002 -1.500000013E-003 3.542710571E+002
 3.020833246E-003 -5.499999970E-002 -1.500000013E-003 3.536112366E+002
 4.027777817E-003 -5.499999970E-002 -1.500000013E-003 3.534988098E+002
 5.034722388E-003 -5.499999970E-002 -1.500000013E-003 3.526001587E+002
 6.041666493E-003 -5.499999970E-002 -1.500000013E-003 3.523842163E+002
 7.048611064E-003 -5.499999970E-002 -1.500000013E-003 3.513333435E+002
 8.055555634E-003 -5.499999970E-002 -1.500000013E-003 3.512579041E+002
 9.062499739E-003 -5.499999970E-002 -1.500000013E-003 3.497564392E+002
 1.006944478E-002 -5.499999970E-002 -1.500000013E-003 3.496556702E+002
 1.107638888E-002 -5.499999970E-002 -1.500000013E-003 3.491671753E+002
 1.208333299E-002 -5.499999970E-002 -1.500000013E-003 3.475283508E+002
 1.309027802E-002 -5.499999970E-002 -1.500000013E-003 3.474722900E+002
 1.409722213E-002 -5.499999970E-002 -1.500000013E-003 3.472010498E+002
 1.510416623E-002 -5.499999970E-002 -1.500000013E-003 3.450989685E+002
 1.611111127E-002 -5.499999970E-002 -1.500000013E-003 3.446759644E+002
 1.711805537E-002 -5.499999970E-002 -1.500000013E-003 3.446662292E+002
 1.812499948E-002 -5.499999970E-002 -1.500000013E-003 3.441173401E+002
 1.913194358E-002 -5.499999970E-002 -1.500000013E-003 3.417737732E+002
 2.013888955E-002 -5.499999970E-002 -1.500000013E-003 3.411856384E+002
 2.114583366E-002 -5.499999970E-002 -1.500000013E-003 3.411734314E+002
 2.215277776E-002 -5.499999970E-002 -1.500000013E-003 3.410651550E+002
 2.315972187E-002 -5.499999970E-002 -1.500000013E-003 3.397462463E+002
 2.416666597E-002 -5.499999970E-002 -1.500000013E-003 3.374490356E+002
 2.517361194E-002 -5.499999970E-002 -1.500000013E-003 3.369647217E+002
 2.618055604E-002 -5.499999970E-002 -1.500000013E-003 3.369456787E+002
 2.718750015E-002 -5.499999970E-002 -1.500000013E-003 3.369159851E+002
 2.819444425E-002 -5.499999970E-002 -1.500000013E-003 3.364291077E+002
 2.920138836E-002 -5.499999970E-002 -1.500000013E-003 3.343801270E+002
 3.020833246E-002 -5.499999970E-002 -1.500000013E-003 3.325072021E+002
 3.121527843E-002 -5.499999970E-002 -1.500000013E-003 3.321100769E+002
 3.222222254E-002 -5.499999970E-002 -1.500000013E-003 3.320831299E+002
 3.322916850E-002 -5.499999970E-002 -1.500000013E-003 3.320789490E+002
 3.423611075E-002 -5.499999970E-002 -1.500000013E-003 3.319293213E+002
 3.524305671E-002 -5.499999970E-002 -1.500000013E-003 3.310537415E+002
 3.624999896E-002 -5.499999970E-002 -1.500000013E-003 3.289746704E+002
 3.725694492E-002 -5.499999970E-002 -1.500000013E-003 3.273717957E+002
 3.826388717E-002 -5.499999970E-002 -1.500000013E-003 3.269208984E+002
 3.927083313E-002 -5.499999970E-002 -1.500000013E-003 3.268666992E+002
 4.027777910E-002 -5.499999970E-002 -1.500000013E-003 3.268656006E+002
 4.128472134E-002 -5.499999970E-002 -1.500000013E-003 3.268427734E+002
 4.229166731E-002 -5.499999970E-002 -1.500000013E-003 3.266522827E+002
 4.329860955E-002 -5.499999970E-002 -1.500000013E-003 3.258964233E+002
 4.430555552E-002 -5.499999970E-002 -1.500000013E-003 3.243010864E+002
 4.531250149E-002 -5.499999970E-002 -1.500000013E-003 3.227439575E+002
 4.631944373E-002 -5.499999970E-002 -1.500000013E-003 3.220248413E+002
 4.732638970E-002 -5.499999970E-002 -1.500000013E-003 3.218408508E+002
 4.833333194E-002 -5.499999970E-002 -1.500000013E-003 3.218179016E+002
 4.934027791E-002 -5.499999970E-002 -1.500000013E-003 3.218176575E+002
 5.034722388E-002 -5.499999970E-002 -1.500000013E-003 3.218078003E+002
 5.135416612E-002 -5.499999970E-002 -1.500000013E-003 3.217326355E+002
 5.236111209E-002 -5.499999970E-002 -1.500000013E-003 3.214421997E+002
 5.336805433E-002 -5.499999970E-002 -1.500000013E-003 3.207207031E+002
 5.437500030E-002 -5.499999970E-002 -1.500000013E-003 3.196034851E+002
 5.538194627E-002 -5.499999970E-002 -1.500000013E-003 3.185986938E+002
 5.638888851E-002 -5.499999970E-002 -1.500000013E-003 3.180538635E+002
 5.739583448E-002 -5.499999970E-002 -1.500000013E-003 3.178573914E+002
 5.840277672E-002 -5.499999970E-002 -1.500000013E-003 3.178115540E+002
 5.940972269E-002 -5.499999970E-002 -1.500000013E-003 3.178056946E+002
 6.041666493E-002 -5.499999970E-002 -1.500000013E-003 3.178071899E+002
 6.142361090E-002 -5.499999970E-002 -1.500000013E-003 3.178054810E+002
 6.243055686E-002 -5.499999970E-002 -1.500000013E-003 3.177899475E+002
 6.343749911E-002 -5.499999970E-002 -1.500000013E-003 3.177280884E+002
 6.444444507E-002 -5.499999970E-002 -1.500000013E-003 3.175672302E+002
 6.545139104E-002 -5.499999970E-002 -1.500000013E-003 3.172700500E+002
 6.645833701E-002 -5.499999970E-002 -1.500000013E-003 3.168879700E+002
 6.746527553E-002 -5.499999970E-002 -1.500000013E-003 3.165527649E+002
 6.847222149E-002 -5.499999970E-002 -1.500000013E-003 3.163428345E+002
 6.947916746E-002 -5.499999970E-002 -1.500000013E-003 3.162416077E+002
 7.048611343E-002 -5.499999970E-002 -1.500000013E-003 3.162034607E+002
 7.149305195E-002 -5.499999970E-002 -1.500000013E-003 3.161937561E+002
 7.249999791E-002 -5.499999970E-002 -1.500000013E-003 3.161910400E+002
 -7.249999791E-002 -5.399082601E-002 -1.500000013E-003 3.045806580E+002
 -7.149305195E-002 -5.399082601E-002 -1.500000013E-003 3.045957336E+002
 -7.048611343E-002 -5.399082601E-002 -1.500000013E-003 3.047098389E+002
 -6.947916746E-002 -5.399082601E-002 -1.500000013E-003 3.051788635E+002
 -6.847222149E-002 -5.399082601E-002 -1.500000013E-003 3.063219910E+002
 -6.746527553E-002 -5.399082601E-002 -1.500000013E-003 3.077473755E+002
 -6.645833701E-002 -5.399082601E-002 -1.500000013E-003 3.085911865E+002
 -6.545139104E-002 -5.399082601E-002 -1.500000013E-003 3.088591309E+002
 -6.444444507E-002 -5.399082601E-002 -1.500000013E-003 3.089085693E+002
 -6.343749911E-002 -5.399082601E-002 -1.500000013E-003 3.089346008E+002
 -6.243055686E-002 -5.399082601E-002 -1.500000013E-003 3.090633240E+002
 -6.142361090E-002 -5.399082601E-002 -1.500000013E-003 3.098550110E+002
 -6.041666493E-002 -5.399082601E-002 -1.500000013E-003 3.123136902E+002
